#r,RHF (sto-3g singlete),RHF (6-31g singlete)
"5,89","-393,60973","-398,12035"
"5,78","-393,61032","-398,12094"
"5,67","-393,61094","-398,12157"
"5,56","-393,61158","-398,12221"
"5,45","-393,61225","-398,12289"
"5,34","-393,61294","-398,12361"
"5,23","-393,61366","-398,12436"
"5,12","-393,61442","-398,12515"
"5,01","-393,61521","-398,126"
"4,9","-393,61603","-398,1269"
"4,79","-393,61689","-398,12789"
"4,68","-393,6178","-398,12896"
"4,57","-393,61875","-398,13014"
"4,46","-393,61974","-398,13147"
"4,35","-393,6208","-398,13296"
"4,24","-393,62191","-398,13468"
"4,13","-393,6231","-398,13667"
"4,02","-393,62438","-398,13901"
"3,91","-393,62576","-398,14181"
"3,8","-393,62728","-398,14518"
"3,69","-393,62898","-398,14933"
"3,58","-393,63091","-398,15451"
"3,47","-393,63316","-398,16112"
"3,36","-393,63581","-398,1697"
"3,25","-393,63897","-398,18105"
"3,14","-393,64274","-398,19624"
"3,03","-393,64724","-398,21474"
"2,92","-393,65254","-398,23492"
"2,81","-393,6587","-398,25675"
"2,7","-393,66573","-398,28029"
"2,59","-393,67355","-398,30559"
"2,48","-393,68197","-398,33266"
"2,37","-393,69061","-398,36146"
"2,26","-393,69891","-398,39191"
"2,15","-393,70598","-398,42384"
"2,04","-393,71056","-398,45698"
"1,93","-393,71091","-398,49093"
"1,82","-393,70465","-398,52502"
"1,71","-393,68857","-398,55819"
"1,6","-394,23965","-398,58863"
"1,49","-394,28224","-398,61321"
"1,38","-394,30816","-398,62648"
"1,27","-394,30628","-398,61897"
"1,16","-394,25907","-398,57468"
"1,05","-394,13868","-398,46694"
"0,94","-393,90062","-398,25179"
"0,83","-393,47344","-397,85678"
"0,72","-392,74299","-397,15924"
"0,61","-391,52057","-395,93905"
"0,5","-389,41807","-393,77466"
