#r;ROHF(Triplete);RHF (Singlete);UHF (Singlete);B3LYP (Singlete);UB3LYP (Singlete)
5.89;-398.38791;-398.12035;-398.12035;-398.07555;-398.93244
5.78;-398.38791;-398.12094;-398.12094;-398.06568;-398.93257
5.67;-398.38791;-398.12157;-398.12157;-398.05671;-398.93271
5.56;-398.38791;-398.12221;-398.12221;-398.07928;-399.10121
5.45;-398.38791;-398.12289;-398.12289;-398.93348;-399.10123
5.34;-398.38791;-398.12361;-398.12361;-398.93386;-399.10124
5.23;-398.38792;-398.12436;-398.12436;-398.9344;-399.10124
5.12;-398.38792;-398.12515;-398.12515;-398.93536;-399.10124
5.01;-398.38792;-398.126;-398.126;-398.93665;-399.10125
4.9;-398.38793;-398.1269;-398.1269;-398.93812;-399.10127
4.79;-398.38794;-398.12789;-398.12789;-398.9398;-399.1013
4.68;-398.38794;-398.12896;-398.12896;-398.94171;-399.10135
4.57;-398.38795;-398.13014;-398.13014;-398.94387;-399.1014
4.46;-398.38796;-398.13147;-398.13147;-398.94633;-399.10146
4.35;-398.38796;-398.13296;-398.13296;-398.94913;-399.10155
4.24;-398.38797;-398.13468;-398.13468;-398.95233;-399.10169
4.13;-398.38797;-398.13667;-398.13667;-398.95596;-399.10186
4.02;-398.38796;-398.13901;-398.13901;-398.96007;-399.10207
3.91;-398.38794;-398.14181;-398.14181;-398.96473;-399.10233
3.8;-398.38791;-398.14518;-398.14518;-398.97003;-399.10269
3.69;-398.38785;-398.14933;-398.14933;-398.97603;-399.10316
3.58;-398.38776;-398.15451;-398.15451;-398.9828;-399.10374
3.47;-398.38764;-398.16112;-398.16112;-398.99044;-399.10451
3.36;-398.38746;-398.1697;-398.1697;-398.99906;-399.10551
3.25;-398.38722;-398.18105;-398.18105;-399.00875;-399.10682
3.14;-398.38688;-398.19624;-398.19624;-399.01962;-399.10852
3.03;-398.38643;-398.21474;-398.21474;-399.03181;-399.11077
2.92;-398.38583;-398.23492;-398.23492;-399.04542;-399.11371
2.81;-398.38503;-398.25675;-398.25675;-399.06055;-399.11756
2.7;-398.38398;-398.28029;-398.28029;-399.07738;-399.12273
2.59;-398.38263;-398.30559;-398.30559;-399.09601;-399.12966
2.48;-398.38091;-398.33266;-398.33266;-399.11648;-399.13895
2.37;-398.37877;-398.36146;-398.36146;-399.13882;-399.15136
2.26;-398.37621;-398.39191;-398.39191;-399.16299;-399.16783
2.15;-398.37329;-398.42384;-398.42384;-399.18888;-399.18939
2.04;-398.37025;-398.45698;-398.45698;-399.21626;-399.21626
1.93;-398.36754;-398.49093;-398.49093;-399.24471;-399.24471
1.82;-398.36565;-398.52502;-398.52502;-399.27353;-399.27353
1.71;-398.36404;-398.55819;-398.55819;-399.30159;-399.30159
1.6;-398.3603;-398.58863;-398.58863;-399.32699;-399.32699
1.49;-398.42913;-398.61321;-398.61321;-399.34658;-399.34658
1.38;-398.41083;-398.62648;-398.62648;-399.35489;-399.35489
1.27;-398.37102;-398.61897;-398.61897;-399.3427;-399.3427
1.16;-398.29556;-398.57468;-398.57468;-399.29434;-399.29434
1.05;-398.1604;-398.46694;-398.46694;-399.1836;-399.1836
0.94;-397.92435;-398.25179;-398.25179;-398.96704;-398.96704
0.83;-397.51642;-397.85678;-397.85678;-398.57277;-398.57277
0.72;-396.81325;-397.15924;-397.15924;-397.87879;-397.87879
0.61;-395.59175;-395.93905;-395.93905;-396.66702;-396.66702
0.5;-393.42021;-393.77466;-393.77466;-394.51869;-394.51869
